epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1,2.34883291092387,2.0371990029903952,0.24476600985221675,0.3500919681177192,0.22598276356331712,0.29322265338995696
2,1.934487822011936,1.8160019907609295,0.3945504926108374,0.44635193133047213,0.3863037284563558,0.4291667913856758
3,1.7731735340656678,1.7442950793821193,0.4513546798029557,0.4592274678111588,0.44587925702173165,0.4350705680512813
4,1.6404833413340563,1.7224249678254493,0.5009236453201971,0.463519313304721,0.4950574771214006,0.4396346351277548
5,1.5503983684844034,1.627582049603699,0.5417179802955665,0.5119558553034947,0.5391245828106913,0.5015930295673647
6,1.4464014117703117,1.602158587377982,0.593442118226601,0.5370938074800736,0.5902420940964016,0.5212151562019753
7,1.3465100241585013,1.5855389655111467,0.6388546798029556,0.5444512568976089,0.6378361560771192,0.5357153999604378
8,1.2659593965378275,1.5811983925809456,0.6759544334975369,0.5487431023911711,0.6750300334365245,0.5409668638050164
9,1.1926243650401296,1.5612331175643341,0.7173645320197044,0.5616186388718577,0.7168704771085073,0.5587973357754843
10,1.1521473202968668,1.5653823014054102,0.7424568965517241,0.5610055180870631,0.7423226387806388,0.5560665271203975
11,1.3816011709669616,1.651510614547753,0.6189963054187192,0.513182096873084,0.6173374009935676,0.4984507052335087
12,1.363903889334275,1.6722705273596075,0.6348522167487685,0.513182096873084,0.6320151701865756,0.5010708138444097
13,1.317994781213304,1.5845924605627428,0.6530172413793104,0.5493562231759657,0.6514897074701116,0.5438811590310936
14,1.2526672392535063,1.5796989271934598,0.6927339901477833,0.5652973635806254,0.6920390309847164,0.5595767144338589
15,1.2011748916532365,1.5800739069938075,0.7119766009852216,0.56591048436542,0.7113393936079843,0.5640507506897144
16,1.151121606417229,1.6243918188359385,0.7372229064039408,0.5487431023911711,0.7370178906010956,0.531133337211091
17,1.1042803079804029,1.5755072888386608,0.7584667487684729,0.5726548129981607,0.7587871542808926,0.5613681568473636
18,1.0410406361328313,1.6145893580192878,0.792179802955665,0.5732679337829553,0.7921705442306117,0.5679428093134256
19,0.9880616477662069,1.6187199596829533,0.8235837438423645,0.5702023298589822,0.8240472811089862,0.5673216600915906
20,0.9265989283111198,1.6036889444897322,0.8505233990147784,0.6002452483139178,0.8504619725918393,0.600387555722549
21,0.8853999661521678,1.6308007930993011,0.8709975369458128,0.5996321275291232,0.8708299557131898,0.598910123255663
22,0.8387418884441165,1.6355283428451752,0.8957820197044335,0.5941140404659718,0.89561127435211,0.5949100383690512
23,0.8052751429973204,1.7003145295370583,0.9145628078817734,0.6014714898835071,0.9145263162222084,0.6005853976992692
24,0.7709806573902902,1.7001074372735365,0.9276477832512315,0.6057633353770693,0.9276141799529312,0.6066863641587721
25,0.7379000997250796,1.7362537537521558,0.9468903940886699,0.6020846106683017,0.9469150400302377,0.5992625935193969
